looperIdx,target,minMaxOptions
0,Track 1 Rec/Play,"OFF,ON"
1,Track 1 Play/Stop,"OFF,ON"
2,Track 1 Stop,"OFF,ON"
3,Track 1 Clear,"OFF,ON"
4,Track 1 Reverse,"OFF,ON"
5,Track 1 Un/Redo,"OFF,ON"
6,Track 1 M.Back,"OFF,ON"
7,Track 1 R.Back,"OFF,ON"
8,Track 1 M.Set,"OFF,ON"
9,Track 1 M.Clear,"OFF,ON"
10,Track 1 Level,0:1:200
11,Track 2 Rec/Play,"OFF,ON"
12,Track 2 Play/Stop,"OFF,ON"
13,Track 2 Stop,"OFF,ON"
14,Track 2 Clear,"OFF,ON"
15,Track 2 Reverse,"OFF,ON"
16,Track 2 Un/Redo,"OFF,ON"
17,Track 2 M.Back,"OFF,ON"
18,Track 2 R.Back,"OFF,ON"
19,Track 2 M.Set,"OFF,ON"
20,Track 2 M.Clear,"OFF,ON"
21,Track 2 Level,0:1:200
22,Track 3 Rec/Play,"OFF,ON"
23,Track 3 Play/Stop,"OFF,ON"
24,Track 3 Stop,"OFF,ON"
25,Track 3 Clear,"OFF,ON"
26,Track 3 Reverse,"OFF,ON"
27,Track 3 Un/Redo,"OFF,ON"
28,Track 3 M.Back,"OFF,ON"
29,Track 3 R.Back,"OFF,ON"
30,Track 3 M.Set,"OFF,ON"
31,Track 3 M.Clear,"OFF,ON"
32,Track 3 Level,0:1:200
33,Track 4 Rec/Play,"OFF,ON"
34,Track 4 Play/Stop,"OFF,ON"
35,Track 4 Stop,"OFF,ON"
36,Track 4 Clear,"OFF,ON"
37,Track 4 Reverse,"OFF,ON"
38,Track 4 Un/Redo,"OFF,ON"
39,Track 4 M.Back,"OFF,ON"
40,Track 4 R.Back,"OFF,ON"
41,Track 4 M.Set,"OFF,ON"
42,Track 4 M.Clear,"OFF,ON"
43,Track 4 Level,0:1:200
44,Track 5 Rec/Play,"OFF,ON"
45,Track 5 Play/Stop,"OFF,ON"
46,Track 5 Stop,"OFF,ON"
47,Track 5 Clear,"OFF,ON"
48,Track 5 Reverse,"OFF,ON"
49,Track 5 Un/Redo,"OFF,ON"
50,Track 5 M.Back,"OFF,ON"
51,Track 5 R.Back,"OFF,ON"
52,Track 5 M.Set,"OFF,ON"
53,Track 5 M.Clear,"OFF,ON"
54,Track 5 Level,0:1:200
