CtlPedalIndex,Name,Push,Hold,Click
0,OFF,-,-,-
1,TRK 1 REC/PLAY 1,REC/PLAY,-,-
2,TRK 1 REC/PLAY 2,REC/PLAY,UNDO (PLAY),-
3,TRK 1 REC/PLAY 3,REC/PLAY,UNDO (PLAY),STOP
4,TRK 1 REC/PLAY 4,REC/PLAY,UNDO (CLEAR),STOP
5,TRK 1 MOMENT PLAY,PLAY,-,-
6,TRK 1 PLAY/STOP 1,PLAY/STOP,-,-
7,TRK 1 PLAY/STOP 2,PLAY/STOP,UNDO (PLAY),-
8,TRK 1 PLAY/STOP 3,PLAY/STOP,UNDO (CLEAR),-
9,TRK 1 STOP 1,STOP,-,-
10,TRK 1 STOP 2,STOP,-,TAP TEMPO
11,TRK 1 STOP 3,STOP,CLEAR,TAP TEMPO
12,TRK 1 STOP 4,STOP,CLEAR,-
13,TRK 1 STOP 5,STOP,-,CLEAR
14,TRK 1 CLEAR,CLEAR,-,-
15,TRK 1 REVERSE,REVERSE,-,-
16,TRK 1 UNDO/REDO,UNDO,-,-
17,TRK 1 MARK BACK 1,MARK BACK,-,-
18,TRK 1 MARK BACK 2,MARK BACK,REC BACK,-
19,TRK 1 REC BACK,REC BACK,-,-
20,TRK 1 MARK SET 1,MARK SET,-,-
21,TRK 1 MARK SET 2,MARK SET,MARK CLEAR,-
22,TRK 1 MARK CLEAR,MARK CLEAR,-,-
23,TRK 1 HALF SPEED,HALF SPEED,-,-
24,TRK 1 HALF SPEED (MOMENT),HALF SPEED,-,-
25,TRK 1 DOUBLE SPEED,DOUBLE SPEED,-,-
26,TRK 1 DOUBLE SPEED (MOMENT),DOUBLE SPEED,-,-
27,TRK 1 TRACK FX,FX ON/OFF,-,-
28,TRK 2 REC/PLAY 1,REC/PLAY,-,-
29,TRK 2 REC/PLAY 2,REC/PLAY,UNDO (PLAY),-
30,TRK 2 REC/PLAY 3,REC/PLAY,UNDO (PLAY),STOP
31,TRK 2 REC/PLAY 4,REC/PLAY,UNDO (CLEAR),STOP
32,TRK 2 MOMENT PLAY,PLAY,-,-
33,TRK 2 PLAY/STOP 1,PLAY/STOP,-,-
34,TRK 2 PLAY/STOP 2,PLAY/STOP,UNDO (PLAY),-
35,TRK 2 PLAY/STOP 3,PLAY/STOP,UNDO (CLEAR),-
36,TRK 2 STOP 1,STOP,-,-
37,TRK 2 STOP 2,STOP,-,TAP TEMPO
38,TRK 2 STOP 3,STOP,CLEAR,TAP TEMPO
39,TRK 2 STOP 4,STOP,CLEAR,-
40,TRK 2 STOP 5,STOP,-,CLEAR
41,TRK 2 CLEAR,CLEAR,-,-
42,TRK 2 REVERSE,REVERSE,-,-
43,TRK 2 UNDO/REDO,UNDO,-,-
44,TRK 2 MARK BACK 1,MARK BACK,-,-
45,TRK 2 MARK BACK 2,MARK BACK,REC BACK,-
46,TRK 2 REC BACK,REC BACK,-,-
47,TRK 2 MARK SET 1,MARK SET,-,-
48,TRK 2 MARK SET 2,MARK SET,MARK CLEAR,-
49,TRK 2 MARK CLEAR,MARK CLEAR,-,-
50,TRK 2 HALF SPEED,HALF SPEED,-,-
51,TRK 2 HALF SPEED (MOMENT),HALF SPEED,-,-
52,TRK 2 DOUBLE SPEED,DOUBLE SPEED,-,-
53,TRK 2 DOUBLE SPEED (MOMENT),DOUBLE SPEED,-,-
54,TRK 2 TRACK FX,FX ON/OFF,-,-
55,TRK 3 REC/PLAY 1,REC/PLAY,-,-
56,TRK 3 REC/PLAY 2,REC/PLAY,UNDO (PLAY),-
57,TRK 3 REC/PLAY 3,REC/PLAY,UNDO (PLAY),STOP
58,TRK 3 REC/PLAY 4,REC/PLAY,UNDO (CLEAR),STOP
59,TRK 3 MOMENT PLAY,PLAY,-,-
60,TRK 3 PLAY/STOP 1,PLAY/STOP,-,-
61,TRK 3 PLAY/STOP 2,PLAY/STOP,UNDO (PLAY),-
62,TRK 3 PLAY/STOP 3,PLAY/STOP,UNDO (CLEAR),-
63,TRK 3 STOP 1,STOP,-,-
64,TRK 3 STOP 2,STOP,-,TAP TEMPO
65,TRK 3 STOP 3,STOP,CLEAR,TAP TEMPO
66,TRK 3 STOP 4,STOP,CLEAR,-
67,TRK 3 STOP 5,STOP,-,CLEAR
68,TRK 3 CLEAR,CLEAR,-,-
69,TRK 3 REVERSE,REVERSE,-,-
70,TRK 3 UNDO/REDO,UNDO,-,-
71,TRK 3 MARK BACK 1,MARK BACK,-,-
72,TRK 3 MARK BACK 2,MARK BACK,REC BACK,-
73,TRK 3 REC BACK,REC BACK,-,-
74,TRK 3 MARK SET 1,MARK SET,-,-
75,TRK 3 MARK SET 2,MARK SET,MARK CLEAR,-
76,TRK 3 MARK CLEAR,MARK CLEAR,-,-
77,TRK 3 HALF SPEED,HALF SPEED,-,-
78,TRK 3 HALF SPEED (MOMENT),HALF SPEED,-,-
79,TRK 3 DOUBLE SPEED,DOUBLE SPEED,-,-
80,TRK 3 DOUBLE SPEED (MOMENT),DOUBLE SPEED,-,-
81,TRK 3 TRACK FX,FX ON/OFF,-,-
82,TRK 4 REC/PLAY 1,REC/PLAY,-,-
83,TRK 4 REC/PLAY 2,REC/PLAY,UNDO (PLAY),-
84,TRK 4 REC/PLAY 3,REC/PLAY,UNDO (PLAY),STOP
85,TRK 4 REC/PLAY 4,REC/PLAY,UNDO (CLEAR),STOP
86,TRK 4 MOMENT PLAY,PLAY,-,-
87,TRK 4 PLAY/STOP 1,PLAY/STOP,-,-
88,TRK 4 PLAY/STOP 2,PLAY/STOP,UNDO (PLAY),-
89,TRK 4 PLAY/STOP 3,PLAY/STOP,UNDO (CLEAR),-
90,TRK 4 STOP 1,STOP,-,-
91,TRK 4 STOP 2,STOP,-,TAP TEMPO
92,TRK 4 STOP 3,STOP,CLEAR,TAP TEMPO
93,TRK 4 STOP 4,STOP,CLEAR,-
94,TRK 4 STOP 5,STOP,-,CLEAR
95,TRK 4 CLEAR,CLEAR,-,-
